"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1231",24,"No","Travel_Rarely",506,"Research & Development",29,1,"Medical",1,1725,2,"Male",91,3,1,"Laboratory Technician",1,"Divorced",15628,14488,1,"Y","No",13,3,2,80,3,6,2,4,6,2,1,2
"128",19,"Yes","Travel_Rarely",528,"Sales",22,1,"Marketing",1,167,4,"Male",50,3,1,"Sales Representative",3,"Single",6700,107280,1,"Y","Yes",19,3,4,80,0,0,2,2,0,0,0,0
"786",40,"No","Travel_Rarely",1492,"Research & Development",20,4,"Technical Degree",1,1092,1,"Male",61,3,3,"Healthcare Representative",4,"Married",41288,106168,4,"Y","No",20,4,4,80,1,14,6,3,11,10,11,1
"571",52,"No","Non-Travel",715,"Research & Development",19,4,"Medical",1,791,4,"Male",41,3,1,"Research Scientist",4,"Married",17032,106356,0,"Y","No",18,3,1,80,1,5,3,3,4,3,1,2
"162",27,"No","Non-Travel",691,"Research & Development",9,3,"Medical",1,218,4,"Male",57,3,1,"Research Scientist",2,"Divorced",8096,23880,6,"Y","No",18,3,4,80,1,6,1,1,2,2,2,2
"205",38,"Yes","Travel_Rarely",1180,"Research & Development",29,1,"Medical",1,282,2,"Male",70,3,2,"Healthcare Representative",1,"Married",26692,45416,7,"Y","Yes",19,3,2,80,0,17,2,3,1,0,0,0
"800",42,"No","Travel_Rarely",469,"Research & Development",2,2,"Medical",1,1109,4,"Male",35,3,4,"Manager",1,"Married",70660,57596,0,"Y","No",17,3,4,80,1,23,3,3,22,6,13,7
"1306",54,"No","Travel_Rarely",431,"Research & Development",7,4,"Medical",1,1830,4,"Female",68,3,2,"Research Scientist",4,"Married",27416,62784,4,"Y","No",15,3,2,80,1,14,2,2,7,1,1,7
"125",31,"Yes","Travel_Rarely",249,"Sales",6,4,"Life Sciences",1,163,2,"Male",76,1,2,"Sales Executive",3,"Married",24688,82956,4,"Y","Yes",18,3,2,80,0,12,3,2,7,7,7,7
"1443",29,"Yes","Travel_Rarely",1092,"Research & Development",1,4,"Medical",1,2027,1,"Male",36,3,1,"Research Scientist",4,"Married",19148,104496,9,"Y","Yes",14,3,2,80,3,4,3,4,2,2,2,2
"1112",53,"Yes","Travel_Rarely",607,"Research & Development",2,5,"Technical Degree",1,1572,3,"Female",78,2,3,"Manufacturing Director",4,"Married",40676,58472,0,"Y","No",16,3,2,80,1,34,4,3,33,7,1,9
"647",53,"No","Travel_Rarely",868,"Sales",8,3,"Marketing",1,897,1,"Male",73,3,4,"Sales Executive",4,"Married",47344,91156,5,"Y","No",14,3,3,80,1,28,3,3,2,0,2,2
"94",46,"No","Travel_Frequently",638,"Research & Development",1,3,"Medical",1,124,3,"Male",40,2,3,"Healthcare Representative",1,"Married",42692,12568,2,"Y","Yes",13,3,3,80,1,21,5,2,10,9,9,5
"727",31,"No","Travel_Frequently",853,"Research & Development",1,1,"Life Sciences",1,1011,3,"Female",96,3,2,"Manufacturing Director",1,"Married",16592,45100,1,"Y","No",12,3,3,80,1,4,1,3,4,3,0,3
"1425",35,"No","Travel_Rarely",1395,"Research & Development",9,4,"Medical",1,2008,2,"Male",48,3,2,"Research Scientist",3,"Single",20392,74792,1,"Y","No",19,3,2,80,0,10,5,3,10,7,0,8
"1342",31,"No","Travel_Rarely",311,"Research & Development",20,3,"Life Sciences",1,1881,2,"Male",89,3,2,"Laboratory Technician",3,"Divorced",16788,74496,1,"Y","No",11,3,1,80,1,10,2,3,10,8,0,2
"971",27,"No","Travel_Rarely",1291,"Sales",11,3,"Medical",1,1364,3,"Female",98,4,1,"Sales Representative",4,"Married",10136,26108,8,"Y","No",14,3,2,80,1,5,4,3,1,0,0,0
"109",25,"No","Travel_Rarely",1280,"Research & Development",7,1,"Medical",1,143,4,"Male",64,2,1,"Research Scientist",4,"Married",11556,107588,1,"Y","No",11,3,3,80,2,2,2,3,2,2,2,1
"1344",29,"No","Travel_Rarely",592,"Research & Development",7,3,"Life Sciences",1,1883,4,"Male",59,3,1,"Laboratory Technician",1,"Single",8248,77536,3,"Y","No",14,3,2,80,0,11,2,3,3,2,1,2
"1243",40,"No","Travel_Rarely",611,"Sales",7,4,"Medical",1,1740,2,"Male",88,3,5,"Manager",2,"Single",79332,17396,1,"Y","No",14,3,2,80,0,21,3,2,21,8,12,8
"559",32,"No","Travel_Frequently",430,"Research & Development",24,4,"Life Sciences",1,772,1,"Male",80,3,2,"Laboratory Technician",4,"Married",21236,84584,1,"Y","No",15,3,4,80,2,10,2,3,10,8,4,7
"734",26,"No","Travel_Rarely",1066,"Research & Development",2,2,"Medical",1,1018,4,"Male",32,4,2,"Manufacturing Director",4,"Married",21888,13336,1,"Y","No",12,3,2,80,0,8,2,3,8,7,1,3
"166",50,"No","Travel_Rarely",1452,"Research & Development",11,3,"Life Sciences",1,226,3,"Female",53,3,5,"Manager",2,"Single",79704,68212,3,"Y","No",15,3,2,80,0,21,5,3,5,4,4,4
"1068",47,"No","Travel_Rarely",571,"Sales",14,3,"Medical",1,1503,3,"Female",78,3,2,"Sales Executive",3,"Married",18364,96800,3,"Y","Yes",17,3,3,80,1,11,4,2,5,4,1,2
"902",48,"No","Travel_Rarely",969,"Research & Development",2,2,"Technical Degree",1,1258,4,"Male",76,4,1,"Laboratory Technician",2,"Single",10236,66480,5,"Y","No",11,3,3,80,0,7,4,2,1,0,0,0
"946",50,"No","Travel_Rarely",1322,"Research & Development",28,3,"Life Sciences",1,1317,4,"Female",43,3,4,"Research Director",1,"Married",67520,89688,4,"Y","Yes",11,3,2,80,0,25,2,3,3,2,1,2
"1141",44,"No","Travel_Rarely",1313,"Research & Development",7,3,"Medical",1,1608,2,"Female",31,3,5,"Research Director",4,"Divorced",76196,14196,0,"Y","Yes",14,3,4,80,1,23,4,2,22,7,1,10
"290",28,"No","Travel_Rarely",1117,"Research & Development",8,2,"Life Sciences",1,395,4,"Female",66,3,1,"Research Scientist",4,"Single",13240,17952,1,"Y","No",21,4,4,80,0,5,3,3,5,3,0,2
"206",29,"Yes","Travel_Rarely",121,"Sales",27,3,"Marketing",1,283,2,"Female",35,3,3,"Sales Executive",4,"Married",30556,98100,1,"Y","No",22,4,4,80,3,10,3,2,10,4,1,9
"291",49,"No","Travel_Frequently",636,"Research & Development",10,4,"Life Sciences",1,396,3,"Female",35,3,5,"Research Director",1,"Single",74660,102376,9,"Y","Yes",11,3,4,80,0,22,4,3,3,2,1,2
"1223",24,"Yes","Travel_Rarely",240,"Human Resources",22,1,"Human Resources",1,1714,4,"Male",58,1,1,"Human Resources",3,"Married",6220,46340,1,"Y","No",11,3,3,80,1,1,2,3,1,0,0,0
"546",30,"No","Travel_Rarely",501,"Sales",27,5,"Marketing",1,747,3,"Male",99,3,2,"Sales Executive",4,"Divorced",21216,101100,7,"Y","No",23,4,4,80,1,10,2,2,8,7,7,7
"595",29,"No","Travel_Rarely",1252,"Research & Development",23,2,"Life Sciences",1,824,3,"Male",81,4,1,"Research Scientist",3,"Married",10800,95116,1,"Y","No",24,4,3,80,1,10,3,3,10,7,0,7
"593",47,"No","Travel_Rarely",202,"Research & Development",2,2,"Other",1,820,3,"Female",33,3,4,"Manager",4,"Married",67008,51928,1,"Y","Yes",11,3,3,80,1,26,3,2,26,14,3,0
"723",38,"No","Travel_Frequently",1391,"Research & Development",10,1,"Medical",1,1006,3,"Male",66,3,1,"Research Scientist",3,"Married",10736,48508,0,"Y","No",17,3,2,80,1,3,0,2,2,1,0,2
"750",52,"Yes","Travel_Rarely",266,"Sales",2,1,"Marketing",1,1038,1,"Female",57,1,5,"Manager",4,"Married",79380,103384,1,"Y","No",15,3,4,80,1,33,3,3,32,14,6,9
"812",38,"No","Travel_Rarely",130,"Sales",2,2,"Marketing",1,1125,4,"Male",32,3,3,"Sales Executive",2,"Single",29404,82476,7,"Y","No",16,3,3,80,0,10,2,3,1,0,0,0
"538",27,"No","Travel_Frequently",294,"Research & Development",10,2,"Life Sciences",1,733,4,"Male",32,3,3,"Manufacturing Director",1,"Divorced",35172,19236,1,"Y","No",21,4,3,80,2,9,4,2,9,7,1,7
"672",34,"No","Travel_Rarely",546,"Research & Development",10,3,"Life Sciences",1,934,2,"Male",83,3,1,"Laboratory Technician",2,"Divorced",8032,27584,1,"Y","No",14,3,2,80,2,1,3,3,1,0,1,0
"586",23,"Yes","Travel_Rarely",1243,"Research & Development",6,3,"Life Sciences",1,811,3,"Male",63,4,1,"Laboratory Technician",1,"Married",6404,13780,1,"Y","Yes",21,4,3,80,2,1,2,3,0,0,0,0
"1237",36,"Yes","Travel_Rarely",1456,"Sales",13,5,"Marketing",1,1733,2,"Male",96,2,2,"Sales Executive",1,"Divorced",24536,34632,5,"Y","Yes",13,3,2,80,3,16,3,3,2,2,2,2
"1019",36,"No","Travel_Rarely",172,"Research & Development",4,4,"Life Sciences",1,1435,1,"Male",37,2,2,"Laboratory Technician",4,"Single",23240,90416,1,"Y","No",16,3,3,80,0,10,2,2,10,4,1,8
"75",36,"No","Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",1,97,2,"Female",55,4,1,"Laboratory Technician",4,"Married",12152,88008,3,"Y","No",12,3,2,80,0,5,3,3,1,0,0,0
"1327",32,"Yes","Travel_Rarely",414,"Sales",2,4,"Marketing",1,1862,3,"Male",82,2,2,"Sales Executive",2,"Single",39628,104744,7,"Y","Yes",12,3,3,80,0,7,3,2,2,2,2,2
"574",26,"Yes","Travel_Rarely",1146,"Sales",8,3,"Technical Degree",1,796,4,"Male",38,2,2,"Sales Executive",1,"Single",21304,12256,6,"Y","No",17,3,3,80,0,6,2,2,4,3,1,2
"1124",35,"No","Travel_Rarely",670,"Research & Development",10,4,"Medical",1,1587,1,"Female",51,3,2,"Healthcare Representative",3,"Single",24568,16892,3,"Y","Yes",16,3,3,80,0,10,4,3,5,2,0,4
"164",57,"No","Travel_Rarely",334,"Research & Development",24,2,"Life Sciences",1,223,3,"Male",83,4,3,"Healthcare Representative",4,"Divorced",37756,93608,3,"Y","Yes",16,3,2,80,1,12,2,1,5,3,1,4
"666",47,"No","Travel_Rarely",1454,"Sales",2,4,"Life Sciences",1,925,4,"Female",65,2,1,"Sales Representative",4,"Single",13176,52548,1,"Y","Yes",18,3,1,80,0,3,3,2,3,2,1,2
"1368",27,"No","Travel_Rarely",1354,"Research & Development",2,4,"Technical Degree",1,1931,2,"Male",41,3,1,"Research Scientist",2,"Married",8904,24292,1,"Y","No",11,3,3,80,1,6,3,2,5,3,1,2
"40",33,"No","Travel_Frequently",1141,"Sales",1,3,"Life Sciences",1,52,3,"Female",42,4,2,"Sales Executive",1,"Married",21504,12772,2,"Y","No",19,3,1,80,2,10,3,3,5,3,1,3
"1432",32,"No","Travel_Rarely",801,"Sales",1,4,"Marketing",1,2016,3,"Female",48,3,3,"Sales Executive",4,"Married",41688,96128,1,"Y","No",19,3,3,80,2,14,3,3,14,10,5,7
"25",34,"Yes","Travel_Rarely",699,"Research & Development",6,1,"Medical",1,31,2,"Male",83,3,1,"Research Scientist",1,"Single",11840,68408,2,"Y","No",11,3,3,80,0,8,2,3,4,2,1,3
"378",36,"No","Travel_Rarely",329,"Research & Development",2,3,"Life Sciences",1,501,4,"Female",96,3,1,"Research Scientist",3,"Married",10172,47472,4,"Y","No",13,3,2,80,1,6,3,3,2,2,2,2
"1457",35,"No","Travel_Frequently",1199,"Research & Development",18,4,"Life Sciences",1,2049,3,"Male",80,3,2,"Healthcare Representative",3,"Married",22756,98376,1,"Y","Yes",14,3,4,80,2,10,2,4,10,2,0,2
"110",22,"No","Travel_Rarely",534,"Research & Development",15,3,"Medical",1,144,2,"Female",59,3,1,"Laboratory Technician",4,"Single",11484,95140,1,"Y","No",15,3,3,80,0,1,5,3,0,0,0,0
"170",32,"No","Travel_Rarely",120,"Research & Development",6,5,"Life Sciences",1,231,3,"Male",43,3,1,"Research Scientist",3,"Single",12152,49720,3,"Y","No",20,4,1,80,0,8,2,3,5,4,1,4
"735",22,"No","Travel_Rarely",217,"Research & Development",8,1,"Life Sciences",1,1019,2,"Male",94,1,1,"Laboratory Technician",1,"Married",9804,27524,1,"Y","No",15,3,1,80,1,4,3,2,4,3,1,1
"899",43,"No","Travel_Rarely",920,"Research & Development",3,3,"Life Sciences",1,1255,3,"Male",96,1,5,"Research Director",4,"Married",78960,74500,3,"Y","No",14,3,2,80,1,25,2,3,8,7,0,7
"519",38,"No","Travel_Rarely",243,"Sales",7,4,"Marketing",1,709,4,"Female",46,2,2,"Sales Executive",4,"Single",16112,31164,0,"Y","No",20,4,1,80,0,8,2,3,7,7,0,5
"384",22,"No","Travel_Rarely",253,"Research & Development",11,3,"Medical",1,511,1,"Female",43,3,1,"Research Scientist",2,"Married",8976,97760,1,"Y","No",13,3,4,80,1,2,1,3,2,1,1,2
"924",34,"No","Travel_Frequently",648,"Human Resources",11,3,"Life Sciences",1,1289,3,"Male",56,2,2,"Human Resources",2,"Married",17960,87332,4,"Y","No",11,3,4,80,2,14,5,4,10,9,1,8
"47",34,"No","Non-Travel",1065,"Sales",23,4,"Marketing",1,60,2,"Male",72,3,2,"Sales Executive",3,"Single",18272,40136,0,"Y","No",20,4,3,80,0,10,2,3,9,5,8,7
"717",41,"No","Travel_Frequently",840,"Research & Development",9,3,"Medical",1,999,1,"Male",64,3,5,"Research Director",3,"Divorced",77676,14940,2,"Y","No",17,3,2,80,1,21,2,4,18,16,0,11
"358",21,"Yes","Travel_Frequently",756,"Sales",1,1,"Technical Degree",1,478,1,"Female",99,2,1,"Sales Representative",2,"Single",8696,36600,1,"Y","Yes",11,3,3,80,0,3,3,3,3,2,1,2
"784",41,"No","Travel_Rarely",509,"Research & Development",7,2,"Technical Degree",1,1085,2,"Female",43,4,1,"Research Scientist",3,"Married",13504,75452,1,"Y","No",13,3,3,80,0,10,3,3,10,6,0,8
"189",34,"No","Travel_Frequently",1069,"Research & Development",2,1,"Life Sciences",1,256,4,"Male",45,2,2,"Manufacturing Director",3,"Married",38188,56296,1,"Y","No",17,3,3,80,0,10,2,2,10,9,1,9
"744",59,"No","Travel_Rarely",715,"Research & Development",2,3,"Life Sciences",1,1032,3,"Female",69,2,4,"Manufacturing Director",4,"Single",54904,87316,3,"Y","Yes",13,3,1,80,0,30,4,3,5,3,4,3
"380",55,"No","Travel_Rarely",1311,"Research & Development",2,3,"Life Sciences",1,505,3,"Female",97,3,4,"Manager",4,"Single",66636,93032,2,"Y","Yes",13,3,3,80,0,30,2,3,5,4,1,2
"1436",44,"No","Travel_Rarely",1037,"Research & Development",1,3,"Medical",1,2020,2,"Male",42,3,1,"Research Scientist",4,"Single",9744,53688,6,"Y","Yes",12,3,3,80,0,6,2,3,4,3,1,2
"72",29,"No","Travel_Rarely",1328,"Research & Development",2,3,"Life Sciences",1,94,3,"Male",76,3,1,"Research Scientist",2,"Married",10812,19824,0,"Y","No",23,4,4,80,1,6,3,3,5,4,0,4
"468",37,"No","Non-Travel",142,"Sales",9,4,"Medical",1,626,1,"Male",69,3,3,"Sales Executive",2,"Divorced",35336,98664,1,"Y","No",13,3,4,80,1,9,6,3,9,5,7,7
"643",38,"No","Travel_Rarely",395,"Sales",9,3,"Marketing",1,893,2,"Male",98,2,1,"Sales Representative",2,"Married",11596,48408,0,"Y","No",19,3,4,80,1,3,3,3,2,2,1,2
"14",34,"No","Travel_Rarely",1346,"Research & Development",19,2,"Medical",1,18,2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",10644,35032,0,"Y","No",11,3,3,80,1,3,2,3,2,2,1,2
"1462",50,"Yes","Travel_Rarely",410,"Sales",28,3,"Marketing",1,2055,4,"Male",39,2,3,"Sales Executive",1,"Divorced",43416,66344,4,"Y","Yes",13,3,2,80,1,20,3,3,3,2,2,0
"596",58,"Yes","Travel_Rarely",286,"Research & Development",2,4,"Life Sciences",1,825,4,"Male",31,3,5,"Research Director",2,"Single",76984,103044,7,"Y","Yes",12,3,4,80,0,40,2,3,31,15,13,8
"257",42,"No","Travel_Rarely",269,"Research & Development",2,3,"Medical",1,351,4,"Female",56,2,1,"Laboratory Technician",1,"Divorced",10372,32028,0,"Y","Yes",11,3,3,80,1,10,4,3,9,6,7,8
"95",32,"No","Travel_Rarely",1093,"Sales",6,4,"Medical",1,125,2,"Male",87,3,2,"Sales Executive",3,"Single",20040,97204,1,"Y","No",16,3,1,80,0,12,0,3,11,8,5,7
"198",42,"No","Non-Travel",926,"Research & Development",21,2,"Medical",1,270,3,"Female",36,3,2,"Manufacturing Director",3,"Divorced",21060,65756,2,"Y","No",16,3,2,80,1,11,5,3,5,3,0,2
"1000",42,"No","Travel_Rarely",1147,"Human Resources",10,3,"Human Resources",1,1408,3,"Female",31,3,4,"Manager",1,"Married",67196,66464,0,"Y","No",14,3,3,80,1,21,5,3,20,7,0,9
"482",34,"No","Travel_Rarely",254,"Research & Development",1,2,"Life Sciences",1,649,2,"Male",83,2,1,"Research Scientist",4,"Married",14488,91176,1,"Y","Yes",13,3,4,80,1,6,3,3,6,5,1,3
"328",39,"Yes","Travel_Rarely",1162,"Sales",3,2,"Medical",1,445,4,"Female",41,3,2,"Sales Executive",3,"Married",20952,71112,4,"Y","Yes",18,3,1,80,0,12,3,2,1,0,0,0
"925",35,"No","Travel_Rarely",735,"Research & Development",6,1,"Life Sciences",1,1291,3,"Male",66,3,1,"Research Scientist",3,"Married",14024,24080,0,"Y","Yes",14,3,4,80,0,4,3,3,3,2,2,2
"1219",41,"No","Travel_Rarely",918,"Sales",6,3,"Marketing",1,1708,4,"Male",35,3,3,"Sales Executive",3,"Single",36964,63476,1,"Y","No",12,3,2,80,0,10,3,3,10,8,8,7
"767",50,"No","Travel_Rarely",1464,"Research & Development",2,4,"Medical",1,1061,2,"Male",62,3,5,"Research Director",3,"Married",76948,51412,2,"Y","Yes",11,3,4,80,1,29,2,2,8,1,7,7
"1407",54,"No","Travel_Rarely",157,"Research & Development",10,3,"Medical",1,1980,3,"Female",77,3,2,"Manufacturing Director",1,"Single",17760,100792,6,"Y","Yes",19,3,4,80,0,9,3,3,5,2,1,4
"89",30,"No","Travel_Rarely",288,"Research & Development",2,3,"Life Sciences",1,117,3,"Male",99,2,2,"Healthcare Representative",4,"Married",16608,63320,1,"Y","No",19,3,1,80,3,11,3,3,11,10,10,8
"579",38,"No","Travel_Frequently",240,"Research & Development",2,4,"Life Sciences",1,803,1,"Female",75,4,2,"Manufacturing Director",1,"Single",23920,104340,6,"Y","Yes",12,3,4,80,0,17,2,3,15,7,4,12
"216",41,"No","Travel_Rarely",896,"Sales",6,3,"Life Sciences",1,298,4,"Female",75,3,3,"Manager",4,"Single",54364,58696,3,"Y","Yes",18,3,3,80,0,16,3,3,1,0,0,0
"1435",52,"No","Non-Travel",585,"Sales",29,4,"Life Sciences",1,2019,1,"Male",40,3,1,"Sales Representative",4,"Divorced",13928,79152,2,"Y","No",15,3,2,80,2,16,3,2,9,8,0,0
"576",54,"No","Travel_Rarely",376,"Research & Development",19,4,"Medical",1,799,4,"Female",95,3,2,"Manufacturing Director",1,"Divorced",21940,90680,9,"Y","Yes",11,3,2,80,2,9,4,3,5,3,1,4
"535",53,"No","Travel_Rarely",970,"Research & Development",7,3,"Life Sciences",1,730,3,"Male",59,4,4,"Research Director",3,"Married",59256,54056,3,"Y","No",19,3,3,80,0,32,3,3,5,1,1,3
"988",51,"No","Travel_Frequently",541,"Sales",2,3,"Marketing",1,1391,2,"Male",52,3,3,"Sales Executive",2,"Married",42384,61580,2,"Y","No",11,3,2,80,0,14,5,3,4,2,3,2
"460",41,"No","Non-Travel",509,"Research & Development",2,4,"Other",1,616,1,"Female",62,2,2,"Healthcare Representative",3,"Single",27244,8448,2,"Y","Yes",17,3,1,80,0,10,3,3,8,7,0,7
"1174",36,"No","Travel_Rarely",711,"Research & Development",5,4,"Life Sciences",1,1651,2,"Female",42,3,3,"Healthcare Representative",1,"Married",32032,91168,4,"Y","No",12,3,3,80,2,9,6,3,3,2,0,2
"795",34,"No","Travel_Frequently",618,"Research & Development",3,1,"Life Sciences",1,1103,1,"Male",45,3,2,"Healthcare Representative",4,"Single",31024,89064,0,"Y","No",17,3,3,80,0,7,1,2,6,2,0,4
"1461",29,"No","Travel_Rarely",468,"Research & Development",28,4,"Medical",1,2054,4,"Female",73,2,1,"Research Scientist",1,"Single",15140,33956,1,"Y","No",14,3,2,80,0,5,3,1,5,4,0,4
"1100",45,"No","Travel_Rarely",538,"Research & Development",1,4,"Technical Degree",1,1553,1,"Male",66,3,3,"Healthcare Representative",2,"Divorced",29764,83732,1,"Y","No",12,3,1,80,3,10,4,3,10,8,7,7
"1045",49,"No","Travel_Rarely",1495,"Research & Development",5,4,"Technical Degree",1,1473,1,"Male",96,3,2,"Healthcare Representative",3,"Married",26604,86136,2,"Y","No",14,3,2,80,1,20,0,2,3,2,1,2
"287",44,"Yes","Travel_Frequently",920,"Research & Development",24,3,"Life Sciences",1,392,4,"Male",43,3,1,"Laboratory Technician",3,"Divorced",12644,79680,3,"Y","Yes",22,4,4,80,1,19,0,1,1,0,0,0
"1377",38,"No","Travel_Rarely",1206,"Research & Development",9,2,"Life Sciences",1,1940,2,"Male",71,3,1,"Research Scientist",4,"Divorced",19084,57172,2,"Y","No",19,3,4,80,2,10,0,4,5,2,0,3
"1033",39,"Yes","Non-Travel",592,"Research & Development",2,3,"Life Sciences",1,1458,1,"Female",54,2,1,"Laboratory Technician",1,"Single",14584,68724,2,"Y","Yes",23,4,2,80,0,11,2,4,1,0,0,0
"1238",32,"Yes","Travel_Rarely",964,"Sales",1,2,"Life Sciences",1,1734,1,"Male",34,1,2,"Sales Executive",2,"Single",26940,48588,6,"Y","No",15,3,2,80,0,10,2,3,0,0,0,0
"948",52,"Yes","Travel_Rarely",1030,"Sales",5,3,"Life Sciences",1,1319,2,"Male",64,3,3,"Sales Executive",2,"Single",33784,86136,9,"Y","Yes",19,3,3,80,0,10,2,2,8,7,7,7
"621",35,"No","Travel_Rarely",1343,"Research & Development",27,1,"Medical",1,856,3,"Female",53,2,1,"Research Scientist",1,"Single",10236,71408,1,"Y","No",11,3,4,80,0,6,3,2,6,5,1,1
"572",26,"No","Travel_Frequently",575,"Research & Development",1,2,"Life Sciences",1,792,1,"Female",71,1,1,"Laboratory Technician",4,"Divorced",17456,21152,3,"Y","No",14,3,1,80,1,5,2,3,2,2,2,0
"526",24,"Yes","Travel_Rarely",693,"Sales",3,2,"Life Sciences",1,720,1,"Female",65,3,2,"Sales Executive",3,"Single",18308,99140,9,"Y","No",14,3,1,80,0,4,3,3,2,2,2,0
"853",29,"No","Travel_Rarely",1401,"Research & Development",6,1,"Medical",1,1192,2,"Female",54,3,1,"Laboratory Technician",4,"Married",12524,105368,1,"Y","No",13,3,1,80,1,10,5,3,10,8,0,8
"413",46,"No","Travel_Rarely",1485,"Research & Development",18,3,"Medical",1,550,3,"Female",87,3,2,"Manufacturing Director",3,"Divorced",19240,105256,2,"Y","No",14,3,3,80,1,19,5,2,10,7,0,8
"1285",39,"No","Travel_Rarely",1253,"Research & Development",10,1,"Medical",1,1800,3,"Male",65,3,3,"Research Director",3,"Single",53856,31656,7,"Y","No",21,4,3,80,0,9,3,3,4,3,2,2
"741",35,"No","Travel_Rarely",802,"Research & Development",10,3,"Other",1,1028,2,"Male",45,3,1,"Laboratory Technician",4,"Divorced",15668,38164,1,"Y","No",20,4,1,80,1,3,4,2,3,2,1,2
"580",34,"No","Travel_Rarely",121,"Research & Development",2,4,"Medical",1,804,3,"Female",86,2,1,"Research Scientist",1,"Single",17524,30120,1,"Y","No",11,3,3,80,0,6,3,3,6,5,1,3
"923",44,"No","Travel_Rarely",1199,"Research & Development",4,2,"Life Sciences",1,1288,3,"Male",92,4,5,"Manager",1,"Divorced",76760,69908,1,"Y","No",14,3,4,80,2,26,4,2,25,9,14,13
"1198",20,"No","Travel_Rarely",727,"Sales",9,1,"Life Sciences",1,1680,4,"Male",54,3,1,"Sales Representative",1,"Single",10912,84328,1,"Y","No",11,3,1,80,0,2,3,3,2,2,0,2
"757",32,"No","Non-Travel",1109,"Research & Development",29,4,"Medical",1,1046,4,"Female",69,3,1,"Laboratory Technician",3,"Single",16100,44540,9,"Y","No",12,3,2,80,0,10,2,3,8,7,7,7
"447",41,"No","Non-Travel",267,"Sales",10,2,"Life Sciences",1,599,4,"Male",56,3,2,"Sales Executive",4,"Single",24920,53720,7,"Y","No",14,3,4,80,0,16,3,3,14,3,1,10
"241",39,"No","Travel_Rarely",1431,"Research & Development",1,4,"Medical",1,332,3,"Female",96,3,1,"Laboratory Technician",3,"Divorced",8928,61668,7,"Y","No",14,3,3,80,3,7,1,3,3,2,1,2
"710",31,"Yes","Non-Travel",335,"Research & Development",9,2,"Medical",1,991,3,"Male",46,2,1,"Research Scientist",1,"Single",9284,41288,0,"Y","Yes",22,4,1,80,0,4,0,3,3,2,1,2
"1117",55,"No","Travel_Rarely",685,"Sales",26,5,"Marketing",1,1578,3,"Male",60,2,5,"Manager",4,"Married",78344,92148,1,"Y","No",21,4,3,80,1,36,3,3,36,6,2,13
"859",53,"No","Travel_Rarely",1223,"Research & Development",7,2,"Medical",1,1201,4,"Female",50,3,5,"Manager",3,"Divorced",74424,74560,3,"Y","No",18,3,2,80,1,26,6,3,7,7,4,7
"1320",32,"No","Travel_Frequently",1318,"Sales",10,4,"Marketing",1,1853,4,"Male",79,3,2,"Sales Executive",4,"Single",18592,104300,8,"Y","No",13,3,3,80,0,4,2,4,0,0,0,0
"1183",36,"No","Non-Travel",894,"Research & Development",1,4,"Medical",1,1662,4,"Female",33,2,2,"Manufacturing Director",3,"Married",17496,61644,0,"Y","No",15,3,3,80,0,4,6,3,3,2,1,2
"486",27,"No","Travel_Rarely",798,"Research & Development",6,4,"Medical",1,655,1,"Female",66,2,1,"Research Scientist",3,"Divorced",8748,20052,0,"Y","No",12,3,3,80,2,6,5,2,5,3,0,3
"802",50,"Yes","Travel_Frequently",959,"Sales",1,4,"Other",1,1113,4,"Male",81,3,2,"Sales Executive",3,"Single",18912,69004,3,"Y","Yes",14,3,4,80,0,5,4,3,0,0,0,0
"55",26,"No","Travel_Rarely",1443,"Sales",23,3,"Marketing",1,72,3,"Female",47,2,2,"Sales Executive",4,"Married",16628,85744,7,"Y","Yes",19,3,3,80,1,5,2,2,2,2,0,0
"1216",35,"No","Travel_Frequently",146,"Research & Development",2,4,"Medical",1,1704,1,"Male",79,2,1,"Research Scientist",4,"Single",19720,55880,0,"Y","Yes",14,3,3,80,0,6,2,4,5,4,1,4
"964",38,"No","Travel_Rarely",1009,"Sales",2,2,"Life Sciences",1,1355,2,"Female",31,3,2,"Sales Executive",1,"Divorced",27572,77844,3,"Y","No",15,3,4,80,1,11,3,3,7,7,1,7
"246",31,"No","Travel_Frequently",1327,"Research & Development",3,4,"Medical",1,337,2,"Male",73,3,3,"Research Director",3,"Divorced",54700,54092,9,"Y","No",12,3,1,80,1,9,3,3,2,2,2,2
"1103",36,"No","Travel_Rarely",1157,"Sales",2,4,"Life Sciences",1,1556,3,"Male",70,3,1,"Sales Representative",4,"Single",10576,68004,3,"Y","Yes",21,4,4,80,0,7,3,2,3,2,1,2
